,Latitude,Diameter,CraterID,Depth,Volume
284596,-56.333,54.85,24-000123,1.44,1700.416917
284597,-55.82,54.66,24-000124,1.14,1336.85334522
284598,-38.084,54.51,24-000125,1.1,1282.8760881750002
284599,-40.88,54.24,24-000126,0.77,889.13918016
284600,-47.821999999999996,54.0,24-000127,1.45,1659.5684999999999
284601,-43.38,53.83,24-000128,0.64,727.8944276799999
284602,-37.108000000000004,53.83,24-000129,0.42,477.6807181649999
284603,-30.426,53.75,24-000130,1.33,1508.1628515625
284604,-59.91,53.74,24-000131,0.2,226.70702660000003
284605,-38.531,53.62,24-000132,0.5,564.2392384999999
284606,-43.058,53.27,24-000133,0.83,924.4494044975002
284607,-34.851,53.2,24-000134,0.89,988.6735880000001
284608,-39.173,53.11,24-000135,0.41,453.9166576925
284609,-51.828,53.08,24-000136,0.08,88.46907295999999
284610,-49.301,53.05,24-000137,1.03,1137.7521431875
284611,-41.516999999999996,53.02,24-000138,1.3,1434.3741841
284612,-42.758,52.88,24-000139,0.97,1064.61918544
284613,-34.025999999999996,52.79,24-000140,1.38,1509.4616077649998
284614,-43.492,52.52,24-000141,0.21,227.35703172
284615,-58.735,52.39,24-000142,1.01,1088.0724942425002
284616,-43.646,52.38,24-000143,1.51,1626.1012982700001
284617,-46.784,52.35,24-000144,1.6,1721.0481300000001
284618,-49.14,51.84,24-000145,1.31,1381.7864908800002
284619,-50.71,51.6,24-000146,0.15,156.75822000000002
284620,-30.237,51.46,24-000147,1.1,1143.3308183000001
284621,-46.976000000000006,51.44,24-000148,0.97,1007.4263713599998
284622,-45.566,50.87,24-000149,0.78,792.241774935
284623,-55.803999999999995,50.65,24-000150,1.38,1389.5610971249998
284624,-57.4,50.63,24-000151,0.22,221.34932231500002
284625,-39.236999999999995,50.45,24-000152,1.25,1248.7399765625003
284626,-51.273,50.42,24-000153,1.53,1526.6404826100004
284627,-52.785,50.01,24-000154,0.08,78.53140314
284628,-32.14,49.97,24-000155,1.03,1009.4750388475002
284629,-56.708999999999996,49.89,24-000156,0.5,488.468624625
284630,-60.946000000000005,49.76,24-000157,1.52,1477.2159641599999
284631,-36.233000000000004,49.59,24-000158,1.0,965.2234792500002
284632,-43.927,49.53,24-000159,2.19,2108.7273551175003
284633,-31.723000000000003,49.2,24-000160,0.14,133.01416800000004
284634,-39.06,48.32,24-000161,2.0,1832.8355840000002
284636,-39.223,48.02,24-000163,0.89,805.5156437300002
284637,-58.248000000000005,48.0,24-000164,0.55,497.3760000000001
284639,-50.145,47.79,24-000166,1.84,1649.42109702
284640,-34.045,47.59,24-000167,0.45,400.02173066250003
284641,-58.973,47.42,24-000168,0.49,432.47284213000006
284642,-61.812,47.14,24-000169,2.13,1857.79770009
284643,-62.787,47.04,24-000170,1.37,1189.85723136
284644,-32.084,46.87,24-000171,0.81,698.4166544325001
284645,-50.283,46.86,24-000172,1.45,1249.7185948499998
284646,-48.723,46.82,24-000173,0.82,705.53137594
284647,-53.09,46.78,24-000174,1.11,953.4174026700002
284648,-57.591,46.39,24-000175,0.21,177.3812458425
284649,-33.403,46.37,24-000176,0.98,827.065544585
284650,-32.974000000000004,46.22,24-000177,0.37,310.24248289
284651,-57.878,46.2,24-000178,0.25,209.44192500000003
284652,-39.296,45.99,24-000179,0.29,240.7489923825
284653,-44.43899999999999,45.95,24-000180,0.66,546.9588176250002
284654,-63.185,45.86,24-000181,0.31,255.89951083
284655,-44.196000000000005,45.82,24-000182,1.72,1417.3538172400001
284656,-53.994,45.81,24-000183,0.46,378.89430385500003
284657,-44.82899999999999,45.79,24-000184,1.3,1069.853472025
284658,-48.053000000000004,45.78,24-000185,1.26,1036.48204422
284659,-50.523,45.77,24-000186,0.75,616.6840974375001
284660,-56.618,45.52,24-000187,0.26,211.45478432000002
284661,-31.654,45.46,24-000188,0.08,64.89160424
284662,-42.185,45.43,24-000189,0.75,607.5561174375
284663,-59.39,45.39,24-000190,1.13,913.7733126525001
284664,-30.773000000000003,45.19,24-000191,0.64,512.98458832
284665,-35.797,45.16,24-000192,0.86,688.40811128
284666,-56.033,45.07,24-000193,0.79,629.8568668675
284667,-48.196000000000005,44.75,24-000194,1.07,841.0261859375001
284668,-56.068999999999996,44.59,24-000195,0.36,280.94228253000006
284669,-38.122,44.58,24-000196,0.83,647.4375467099999
284670,-54.092,44.37,24-000197,0.62,479.08239061499995
284671,-38.164,44.16,24-000198,0.68,520.48318464
284672,-64.51,43.84,24-000199,1.13,852.4309222400001
284673,-36.247,43.83,24-000200,1.06,799.260715845
284674,-46.79,43.76,24-000201,1.05,789.1936584
284675,-33.58,43.69,24-000202,0.31,232.2551989675
284676,-62.383,43.65,24-000203,1.32,987.14758725
284677,-62.496,43.58,24-000204,0.14,104.36194118
284678,-45.871,43.42,24-000205,0.51,377.38920687000007
284679,-57.394,43.4,24-000206,0.73,539.687029
284680,-57.713,43.32,24-000207,1.17,861.7919216399999
284681,-36.236,43.24,24-000208,0.07,51.369941560000015
284682,-41.361999999999995,43.18,24-000209,0.24,175.63706808
284683,-59.393,43.07,24-000210,1.56,1135.8317462700002
284684,-57.224,43.03,24-000211,0.83,603.1987676975
284685,-59.724,43.03,24-000212,1.06,770.3502334450001
284687,-40.074,42.65,24-000214,1.83,1306.5583861875
284688,-38.685,42.56,24-000215,0.21,149.30082048
284689,-32.396,42.45,24-000216,0.23,162.67577568750005
284690,-43.481,42.26,24-000217,0.27,189.26155791
284691,-42.902,42.23,24-000218,0.42,293.98902256499997
284692,-48.821000000000005,42.18,24-000219,0.25,174.57932925
284693,-48.507,42.15,24-000220,0.56,390.50162550000005
284694,-34.284,42.03,24-000221,0.88,610.15631886
284696,-45.318000000000005,41.85,24-000223,0.28,192.48133275000004
284697,-33.963,41.77,24-000224,0.1,68.48076632500002
284698,-32.927,41.75,24-000225,0.27,184.72104843750003
284699,-38.995,41.62,24-000226,0.7,475.9286538999999
284700,-34.704,41.6,24-000227,0.47,319.24505600000003
284701,-43.818000000000005,41.55,24-000228,0.62,420.12004837499995
284702,-59.361999999999995,41.48,24-000229,0.11,74.28649052
284703,-49.387,41.32,24-000230,0.15,100.5197838
